period,boundary_mode,score_name,policy_name,cost_bps,full_path_rerun,stress_kind,risk_reference_cost_bps,feature_protocol_version,feature_cache_signature,strategy_policy_version,low_risk_data_signature,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,annualized_turnover,trade_day_ratio,completed_position_exit_count,completed_position_holding_sessions_p25,completed_position_holding_sessions_p50,completed_position_holding_sessions_p75,completed_position_holding_sessions_le_5_ratio
selection,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,485,0.2740084412863413,0.1340866257761432,0.1409153025339725,0.963390625674507,-0.0844599540919043,0.5587628865979382,0.0671057480009176,0.1627314389022253,5.0,10.0,0.5660362686438567,0.4339637313561433,16.910648496231243,0.2536082474226804,179.0,10.0,10.0,10.0,0.0726256983240223
full,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,1941,0.2244777939225322,0.0266411452931401,0.1299566066208518,0.2674939667479247,-0.2442473618796253,0.5497166409067491,0.0595267667453373,0.5777072712634992,3.0,10.0,0.4685949115829447,0.5314050884170552,15.000745219825015,0.2890262751159196,725.0,10.0,10.0,10.0,0.1337931034482758
observation,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,159,-0.0047902688397151,-0.0075814811202828,0.0929760233766072,-0.0353860173298945,-0.0661615857001822,0.5534591194968553,0.0658248043168631,0.0523307194319062,3.0,10.0,0.4572725831774373,0.5427274168225628,16.58785068784952,0.2264150943396226,57.0,10.0,10.0,10.0,0.1578947368421052
year_2018,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,-0.1761078144767041,-0.1826765618396173,0.0821363049017838,-2.4136416089931148,-0.1853242372836628,0.5578512396694215,0.0468582482975677,,,,,,,,,,,,
year_2019,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,244,0.0803685277607806,0.0831101933667701,0.1251673233837274,0.7006636570538015,-0.1374305546101697,0.5409836065573771,0.0504726731547941,,,,,,,,,,,,
year_2020,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.0806320285953248,0.0837401483385713,0.1648522555174434,0.5712805950210765,-0.0960901331811289,0.5596707818930041,0.0587632013850958,,,,,,,,,,,,
year_2021,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.1265400406878174,0.1315224485125774,0.170538993446334,0.8102824312971413,-0.146640812918034,0.5555555555555556,0.0778672294720002,,,,,,,,,,,,
year_2022,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,-0.0999565581402183,-0.1038648083745764,0.0935332883390555,-1.1251420216018886,-0.1334617860953458,0.5702479338842975,0.0501100975716622,,,,,,,,,,,,
year_2023,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,-0.0145187619086617,-0.0151141543288333,0.0861868545320069,-0.1336144480992294,-0.0931508211851951,0.4958677685950413,0.0579020653878388,,,,,,,,,,,,
year_2024,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,0.1899846060876964,0.1985685738062552,0.135907067809973,1.4007148096332045,-0.082189999788813,0.5785123966942148,0.046641106807416,,,,,,,,,,,,
year_2025,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.0706091782774294,0.0733179816346674,0.1456512455591727,0.5586677603922522,-0.0844599540919041,0.5390946502057613,0.0874861725639933,,,,,,,,,,,,
