signal_date,execution_date,stage,asset_code,target_weight
20180717,20180718,executed,LOW_RISK,1.0
20180718,20180719,executed,LOW_RISK,1.0
20180719,20180720,executed,LOW_RISK,1.0
20180720,20180723,executed,LOW_RISK,1.0
20180723,20180724,executed,884254.TI,0.09999999999999999
20180723,20180724,executed,885406.TI,0.09999999999999999
20180723,20180724,executed,885591.TI,0.09999999999999999
20180723,20180724,executed,LOW_RISK,0.7
20180724,20180725,executed,884218.TI,0.09999999999999999
20180724,20180725,executed,885406.TI,0.09999999999999999
20180724,20180725,executed,885591.TI,0.09999999999999999
20180724,20180725,executed,LOW_RISK,0.7
20180725,20180726,executed,884218.TI,0.09937753085621512
20180725,20180726,executed,885406.TI,0.09907212057475115
20180725,20180726,executed,885591.TI,0.10026625451166733
20180725,20180726,executed,LOW_RISK,0.7012840940573664
20180726,20180727,executed,884218.TI,0.09723002916984101
20180726,20180727,executed,885406.TI,0.0984111774666783
20180726,20180727,executed,885591.TI,0.10093082406756786
20180726,20180727,executed,LOW_RISK,0.7034279692959129
20180727,20180730,executed,884218.TI,0.09604216797413037
20180727,20180730,executed,885406.TI,0.09828531586971007
20180727,20180730,executed,885591.TI,0.10105187469678352
20180727,20180730,executed,LOW_RISK,0.7046206414593761
20180730,20180731,executed,884218.TI,0.09429063928788482
20180730,20180731,executed,885406.TI,0.09768443654131452
20180730,20180731,executed,885591.TI,0.09982752298082868
20180730,20180731,executed,LOW_RISK,0.708197401189972
20180731,20180801,executed,884218.TI,0.09474738316885438
20180731,20180801,executed,885406.TI,0.0981931165475228
20180731,20180801,executed,885591.TI,0.09994806783844387
20180731,20180801,executed,LOW_RISK,0.7071114324451789
20180801,20180802,executed,884218.TI,0.09352284541066264
20180801,20180802,executed,885406.TI,0.09698136922759733
20180801,20180802,executed,885591.TI,0.09847215137874735
20180801,20180802,executed,LOW_RISK,0.7110236339829927
20180802,20180803,executed,884227.TI,0.09999999999999999
20180802,20180803,executed,885406.TI,0.09999999999999999
20180802,20180803,executed,885591.TI,0.09999999999999999
20180802,20180803,executed,LOW_RISK,0.7
20180803,20180806,executed,884254.TI,0.09999999999999999
20180803,20180806,executed,885406.TI,0.09999999999999999
20180803,20180806,executed,885591.TI,0.09999999999999999
20180803,20180806,executed,LOW_RISK,0.7
20180806,20180807,executed,884227.TI,0.09999999999999999
20180806,20180807,executed,884229.TI,0.09999999999999999
20180806,20180807,executed,884230.TI,0.09999999999999999
20180806,20180807,executed,LOW_RISK,0.7
20180807,20180808,executed,884227.TI,0.09999999999999999
20180807,20180808,executed,884229.TI,0.09999999999999999
20180807,20180808,executed,884254.TI,0.09999999999999999
20180807,20180808,executed,LOW_RISK,0.7
20180808,20180809,executed,884211.TI,0.09999999999999999
20180808,20180809,executed,884230.TI,0.09999999999999999
20180808,20180809,executed,885782.TI,0.09999999999999999
20180808,20180809,executed,LOW_RISK,0.7
20180809,20180810,executed,884211.TI,0.1029880226832713
20180809,20180810,executed,884230.TI,0.10064926056836591
20180809,20180810,executed,885782.TI,0.1008962913098662
20180809,20180810,executed,LOW_RISK,0.6954664254384966
20180810,20180813,executed,884211.TI,0.10197042849779363
20180810,20180813,executed,884230.TI,0.10009266434995887
20180810,20180813,executed,885782.TI,0.09945188677493709
20180810,20180813,executed,LOW_RISK,0.6984850203773104
20180813,20180814,executed,884211.TI,0.10192028794340327
20180813,20180814,executed,884230.TI,0.10108101636751102
20180813,20180814,executed,885782.TI,0.1006989385673591
20180813,20180814,executed,LOW_RISK,0.6962997571217266
20180814,20180815,executed,884211.TI,0.10254843170326206
20180814,20180815,executed,884230.TI,0.10124856700955825
20180814,20180815,executed,885782.TI,0.1007441235645419
20180814,20180815,executed,LOW_RISK,0.6954588777226378
20180815,20180816,executed,884211.TI,0.09999999999999999
20180815,20180816,executed,884227.TI,0.09999999999999999
20180815,20180816,executed,884230.TI,0.09999999999999999
20180815,20180816,executed,LOW_RISK,0.7
20180816,20180817,executed,884211.TI,0.09999999999999999
20180816,20180817,executed,884229.TI,0.09999999999999999
20180816,20180817,executed,884230.TI,0.09999999999999999
20180816,20180817,executed,LOW_RISK,0.7
20180817,20180820,executed,884211.TI,0.09803989701478658
20180817,20180820,executed,884229.TI,0.0994597223014484
20180817,20180820,executed,884230.TI,0.09641079960442325
20180817,20180820,executed,LOW_RISK,0.7060895810793417
20180820,20180821,executed,884211.TI,0.09835203837956405
20180820,20180821,executed,884229.TI,0.1007370533841552
20180820,20180821,executed,884230.TI,0.0968076475128468
20180820,20180821,executed,LOW_RISK,0.7041032607234339
20180821,20180822,executed,884211.TI,0.09765077708392945
20180821,20180822,executed,884229.TI,0.1006281480159221
20180821,20180822,executed,884230.TI,0.0974945869722996
20180821,20180822,executed,LOW_RISK,0.7042264879278488
20180822,20180823,executed,884211.TI,0.09655888775368
20180822,20180823,executed,884229.TI,0.10183922106657815
20180822,20180823,executed,884230.TI,0.09549792960685803
20180822,20180823,executed,LOW_RISK,0.7061039615728838
20180823,20180824,executed,884211.TI,0.09999999999999999
20180823,20180824,executed,884229.TI,0.09999999999999999
20180823,20180824,executed,884258.TI,0.09999999999999999
20180823,20180824,executed,LOW_RISK,0.7
20180824,20180827,executed,881167.TI,0.09999999999999999
20180824,20180827,executed,884229.TI,0.09999999999999999
20180824,20180827,executed,884258.TI,0.09999999999999999
20180824,20180827,executed,LOW_RISK,0.7
20180827,20180828,executed,881167.TI,0.10179044855387161
20180827,20180828,executed,884229.TI,0.10174201727088544
20180827,20180828,executed,884258.TI,0.10163016738067664
20180827,20180828,executed,LOW_RISK,0.6948373667945663
20180828,20180829,executed,881167.TI,0.10366050247146706
20180828,20180829,executed,884229.TI,0.10268758086190068
20180828,20180829,executed,884258.TI,0.10092120613478468
20180828,20180829,executed,LOW_RISK,0.6927307105318476
20180829,20180830,executed,881167.TI,0.10291809494937347
20180829,20180830,executed,884229.TI,0.10191590135799061
20180829,20180830,executed,884258.TI,0.10108162428693716
20180829,20180830,executed,LOW_RISK,0.6940843794056988
20180830,20180831,executed,881167.TI,0.10516555072415998
20180830,20180831,executed,884229.TI,0.10062193705558496
20180830,20180831,executed,884258.TI,0.09835058194303198
20180830,20180831,executed,LOW_RISK,0.6958619302772231
20180831,20180903,executed,881167.TI,0.10295545110534908
20180831,20180903,executed,884229.TI,0.09931935592009039
20180831,20180903,executed,884258.TI,0.09904619358562372
20180831,20180903,executed,LOW_RISK,0.6986789993889368
20180903,20180904,executed,881167.TI,0.10327433370732257
20180903,20180904,executed,884229.TI,0.10126520461126441
20180903,20180904,executed,884258.TI,0.09878431598875122
20180903,20180904,executed,LOW_RISK,0.6966761456926618
20180904,20180905,executed,881167.TI,0.10438509464881497
