asof_date,effective_from,sector_code,sector_name,etf_code,etf_name,index_code,index_name,listing_sessions,recent_completeness,median_amount20,n_obs,score_before_tracking_penalty,eligible_before_index_gap,reject_reason,corr120,corr60,beta,r2,tracking_error,tracking_error_rank,mapping_score,selected,runner_up_index_gap,effective_to
20240131,20240201,885756.TI,芯片概念,159813.SZ,鹏华国证半导体芯片ETF,980017.SZ,国证芯片,900,1.0,131283.8895,120,0.6188050576477364,True,,0.7246396510376031,0.7108793542022002,0.9997283787795184,0.525102623855899,0.11223482125975759,0.75,0.5438050576477365,True,,20240301
20240131,20240201,885914.TI,煤炭概念,515220.SH,国泰中证煤炭ETF,399998.SZ,中证煤炭,956,1.0,127289.2405,120,0.8039083806503182,True,,0.9110221592811841,0.8956123792180934,1.411817062368684,0.8299613747013521,0.09827781153293831,1.0,0.7039083806503182,True,,20240301
20240229,20240301,881121.TI,半导体,512480.SH,国联安中证全指半导体产品与设备ETF,H30184.CSI,中证半导体,1145,1.0,963497.806,120,0.7447166153148509,True,,0.8529215225328588,0.8365383420338236,1.040744009809863,0.7274751235997705,0.11237096012511977,1.0,0.6447166153148509,True,,20240401
20240229,20240301,881129.TI,通信设备,515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证通信设备,1084,1.0,189632.4095,120,0.6310518808406873,True,,0.7166278356861691,0.7828185790622654,1.0838115048763248,0.513555454880243,0.19541897321559373,1.0,0.5310518808406873,True,,20240401
20240229,20240301,881145.TI,电力,159611.SZ,广发中证全指电力公用事业ETF,H30199.CSI,中证电力指数,518,1.0,70399.639,120,0.6571401539138604,True,,0.7746475525062855,0.7192182122804837,0.9890736328361998,0.6000788306039784,0.08540242032702224,0.6,0.5971401539138603,True,,20240401
20240229,20240301,881153.TI,房地产,512200.SH,南方中证全指房地产ETF,931775.CSI,中证房地产,1559,1.0,145682.012,120,0.6805924675397746,True,,0.8101419001788274,0.7082881307462274,0.8243713700216846,0.6563298984253605,0.121361001369504,1.0,0.5805924675397747,True,,20240401
20240229,20240301,881155.TI,银行,515290.SH,天弘中证银行ETF,399986.SZ,中证银行,768,1.0,63110.2995,120,0.8091463984509142,True,,0.9155670994789895,0.9024935266566556,0.8935138561618777,0.8382631136483701,0.051063639442985344,0.125,0.7966463984509142,True,,20240401
20240229,20240301,885362.TI,云计算,516510.SH,易方达中证云计算与大数据主题ETF,930851.CSI,中证云计算,703,1.0,83742.497,120,0.5675676003889261,True,,0.6664297337176005,0.670933780130756,1.2075376765773782,0.44412858998291194,0.19327993359858586,0.5,0.517567600388926,True,,20240401
20240229,20240301,885756.TI,芯片概念,159813.SZ,鹏华国证半导体芯片ETF,980017.SZ,国证芯片,915,1.0,144755.6925,120,0.5960663032194744,True,,0.6904282027098327,0.717394145599954,1.1556094696046244,0.47669110309713014,0.14778574961141044,0.5,0.5460663032194744,True,,20240401
20240229,20240301,885914.TI,煤炭概念,515220.SH,国泰中证煤炭ETF,399998.SZ,中证煤炭,971,1.0,133238.5355,120,0.7797726092013066,True,,0.8899058847907563,0.8641191769525833,1.4757007164095657,0.791932483785218,0.11702308091487261,1.0,0.6797726092013067,True,,20240401
20240329,20240401,881121.TI,半导体,512480.SH,国联安中证全指半导体产品与设备ETF,H30184.CSI,中证半导体,1166,1.0,770804.7995,120,0.7332052799648331,True,,0.8364383518103454,0.8401669464111179,1.060168697207939,0.6996291163792063,0.11485690139248253,1.0,0.6332052799648331,True,,20240506
20240329,20240401,881129.TI,通信设备,515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证通信设备,1105,1.0,398155.909,120,0.6405683158889881,True,,0.7356080089543557,0.7663857599445658,1.1800839249573076,0.5411191428377916,0.19649021819611334,1.0,0.5405683158889881,True,,20240506
20240329,20240401,881145.TI,电力,159611.SZ,广发中证全指电力公用事业ETF,H30199.CSI,中证电力指数,539,1.0,100373.5485,120,0.6527159692941765,True,,0.7475641937152356,0.7804241555111686,0.9907172210899183,0.5588522237251106,0.09617965617824258,0.6,0.5927159692941766,True,,20240506
20240329,20240401,881153.TI,房地产,512200.SH,南方中证全指房地产ETF,931775.CSI,中证房地产,1580,1.0,119083.258,120,0.687361763272806,True,,0.8042638964149756,0.7528150112153138,0.8562205367973657,0.6468404150765983,0.12425504894181945,1.0,0.587361763272806,True,,20240506
20240329,20240401,881155.TI,银行,512700.SH,南方中证银行ETF,399986.SZ,中证银行,1623,1.0,61479.819,120,0.818655360019313,True,,0.9246392120088776,0.9123684126288591,0.9520519102331583,0.8549576723843972,0.048620188445833865,0.125,0.8061553600193131,True,,20240506
20240329,20240401,885362.TI,云计算,516510.SH,易方达中证云计算与大数据主题ETF,930851.CSI,中证云计算,724,1.0,135203.65600000002,120,0.5788115171386805,True,,0.6862900022262287,0.6600696838088583,1.22615986905417,0.4709939671556773,0.1965414158659791,0.5,0.5288115171386805,True,,20240506
