date,signal_date,gross_return,turnover,cost,net_return,equity,drawdown,sector_target_exposure,mapped_equity_exposure,mapping_coverage,etf_count
20250410,20250409,-6.97120890721381e-05,0.0,0.0,-6.97120890721381e-05,1.1635417990611208,-6.97120890721381e-05,1.0,0.0,0.0,1
20250411,20250410,9.959564169470525e-05,2.220446049250313e-16,4.440892098500626e-19,9.959564169470525e-05,1.1636576827532368,0.0,0.6999999999999995,0.0,0.0,1
20250414,20250411,4.979286169537465e-05,1.1102230246251565e-16,2.220446049250313e-19,4.979286169537467e-05,1.1637156245992948,0.0,0.7039728641131537,0.0,0.0,1
20250415,20250414,0.00012945499447303274,0.14,0.00028000000000000003,-0.0001505812529253303,1.163540390842494,-0.0001505812529252193,0.6999999999999995,0.1399999999999999,0.2,2
20250416,20250415,-0.0011453891534226126,0.0010903634317935285,2.180726863587057e-06,-0.0011475673825053212,1.1622051498417356,-0.001297975833296272,0.6993516161790558,0.1400870539054284,0.2003099022932146,2
20250417,20250416,-0.0025135236944753988,0.0020798041087276425,4.159608217455285e-06,-0.0025176728474189947,1.1592790974928486,-0.0038123808022031414,0.6999999999999995,0.1399999999999999,0.2,2
20250418,20250417,0.0005543845884318084,0.0013118695175665246,2.623739035133049e-06,0.0005517593948360933,1.1599187406261273,-0.0032627249242913603,0.7007572130215904,0.1391218474486188,0.19853073912538155,2
20250421,20250418,-0.00047222764656357387,0.13868082478761481,0.0002773616495752296,-0.0007494583182998671,1.1590494298774132,-0.004009737966256366,0.6999999999999995,0.0,0.0,1
20250422,20250421,0.0,0.0,0.0,0.0,1.1590494298774132,-0.004009737966256366,0.6999999999999995,0.0,0.0,1
20250423,20250422,2.9867091443147573e-05,0.0,0.0,2.9867091443147586e-05,1.1590840473127224,-0.003979990634023767,0.6999999999999995,0.0,0.0,1
20250424,20250423,9.95539980896964e-06,0.0,0.0,9.955399808969645e-06,1.1590955864578256,-0.003970074856612826,0.6990109499003407,0.0,0.0,1
20250425,20250424,0.00011946360839809595,0.0,0.0,0.000119463608398096,1.1592340561990622,-0.0038510855276827627,0.6999999999999995,0.0,0.0,1
20250428,20250425,-5.972466927461892e-05,0.0,0.0,-5.972466927461895e-05,1.1591648213284438,-0.00391058019214785,0.6999999999999995,0.0,0.0,1
20250429,20250428,2.9864118261890824e-05,1.6653345369377348e-16,3.3306690738754697e-19,2.9864118261890837e-05,1.159199438763753,-0.003880832859915362,0.6985724344927207,0.0,0.0,1
20250430,20250429,0.000199088176153106,1.1102230246251565e-16,2.220446049250313e-19,0.00019908817615310603,1.159430221665814,-0.00368251731169833,0.6999999999999995,0.0,0.0,1
20250506,20250430,7.961941917633549e-05,0.0,0.0,7.961941917633553e-05,1.1595225348266387,-0.003603191092411362,0.6999999999999995,0.0,0.0,1
20250507,20250506,-1.9903270107368688e-05,0.0,0.0,-1.9903270107368698e-05,1.1594994565364325,-0.0036230226472331317,0.6999999999999995,0.0,0.0,1
20250508,20250507,7.961466502148791e-05,0.0,0.0,7.961466502148795e-05,1.1595917696972573,-0.0035436964279460526,0.6999999999999995,0.0,0.0,1
20250509,20250508,9.951040878863889e-05,1.6653345369377348e-16,3.3306690738754697e-19,9.951040878863893e-05,1.1597071611482879,-0.0034445386538375367,0.7027197623749858,0.0,0.0,1
20250512,20250509,1.990010149066634e-05,1.1102230246251565e-16,2.220446049250313e-19,1.9900101490666344e-05,1.159730239438494,-0.003424707099015767,0.6999999999999995,0.0,0.0,1
20250513,20250512,9.949852742163751e-06,0.0,0.0,9.949852742163756e-06,1.159741778583597,-0.0034147913216049375,0.6999999999999995,0.0,0.0,1
20250514,20250513,6.964827620503653e-05,0.0,0.0,6.964827620503655e-05,1.1598225525993184,-0.0033453808797290208,0.6999999999999995,0.0,0.0,1
20250515,20250514,2.984718242604599e-05,0.0,0.0,2.9847182426046004e-05,1.1598571700346276,-0.0033156335474964216,0.6999999999999995,0.0,0.0,1
20250516,20250515,0.00014923145799139442,5.551115123125783e-17,1.1102230246251566e-19,0.00014923145799139448,1.1600302572111736,-0.0031668968863335367,0.6988048850147305,0.0,0.0,1
20250519,20250516,1.9894558838107195e-05,1.6653345369377348e-16,3.3306690738754697e-19,1.98945588381072e-05,1.1600533355013796,-0.003147065331511989,0.7002716446867189,0.0,0.0,1
20250520,20250519,3.978832610518345e-05,0.0,0.0,3.978832610518346e-05,1.160099492081792,-0.0031074022218683384,0.7011628740571786,0.0,0.0,1
20250521,20250520,9.94668576437263e-06,1.1102230246251565e-16,2.220446049250313e-19,9.946685764372631e-06,1.1601110312268952,-0.003097486444457398,0.7039063947277922,0.0,0.0,1
20250522,20250521,2.9839760486316522e-05,0.0,0.0,2.9839760486316536e-05,1.1601456486622046,-0.0030677391122246878,0.6999999999999995,0.0,0.0,1
20250523,20250522,8.951661030431875e-05,1.1102230246251565e-16,2.220446049250313e-19,8.951661030431879e-05,1.1602495009681322,-0.0029784971155268902,0.6998275557152511,0.0,0.0,1
20250526,20250523,2.983619926588687e-05,1.1102230246251565e-16,2.220446049250313e-19,2.9836199265886876e-05,1.1602841184034411,-0.002948749783294513,0.6999999999999995,0.0,0.0,1
