period,layer,month,gross_ret,net_ret,total_cost
selection,smoothed_top5_gross,202506,0.02035558723248565,0.02035558723248565,0.0
selection,smoothed_top5_gross,202507,0.041108816697756456,0.041108816697756456,0.0
selection,smoothed_top5_gross,202508,0.05527098596697111,0.05527098596697111,0.0
selection,smoothed_top5_gross,202509,-0.0272321592554442,-0.0272321592554442,0.0
selection,smoothed_top5_gross,202510,0.030427399921684195,0.030427399921684195,0.0
selection,smoothed_top5_gross,202511,-0.02414698033755669,-0.02414698033755669,0.0
selection,smoothed_top5_gross,202512,0.03436817918493751,0.03436817918493751,0.0
observation,smoothed_top5_gross,202601,0.06082573873971353,0.06082573873971353,0.0
observation,smoothed_top5_gross,202602,-0.0010841898193473254,-0.0010841898193473254,0.0
observation,smoothed_top5_gross,202603,0.02890764572915616,0.02890764572915616,0.0
observation,smoothed_top5_gross,202604,0.10704825527373418,0.10704825527373418,0.0
observation,smoothed_top5_gross,202605,-0.04109483706424133,-0.04109483706424133,0.0
observation,smoothed_top5_gross,202606,-0.12912331685301437,-0.12912331685301437,0.0
observation,smoothed_top5_gross,202607,-0.10370442909820088,-0.10370442909820088,0.0
observation,smoothed_top5_gross,202608,0.06906216989839198,0.06906216989839198,0.0
development,smoothed_top5_20bp,201801,0.011448812787626439,-0.005492168850646517,0.016882219977716377
development,smoothed_top5_20bp,201802,-0.006186018283460659,-0.014264594120721563,0.00815896444798154
development,smoothed_top5_20bp,201803,0.08410659813138,0.06503705452018793,0.017737753655970304
development,smoothed_top5_20bp,201804,0.022224769150234636,0.00753002159900884,0.014472497671420854
development,smoothed_top5_20bp,201805,0.019647137043590224,0.0049109988694489015,0.01455163868938783
development,smoothed_top5_20bp,201806,-0.11713395836575602,-0.1278190794295987,0.012171715325351261
development,smoothed_top5_20bp,201807,0.06499584923326962,0.051301400766820215,0.012937358258446899
development,smoothed_top5_20bp,201808,-0.10589181501434208,-0.12132470098817882,0.01740298676164274
development,smoothed_top5_20bp,201809,-0.009867073377613833,-0.023741625103873898,0.014105224319665816
development,smoothed_top5_20bp,201810,-0.15439890454653105,-0.16558646091014628,0.013312380218193216
development,smoothed_top5_20bp,201811,-0.02031929671966537,-0.036721357439259306,0.0168759283727301
development,smoothed_top5_20bp,201812,0.014240482024199475,0.0016125197626941645,0.01252387718730047
development,smoothed_top5_20bp,201901,0.06762323810685045,0.050584523518193425,0.016081428283597668
development,smoothed_top5_20bp,201902,0.20404148484503382,0.18768902158779,0.013667444654313307
development,smoothed_top5_20bp,201903,0.09017779703625828,0.0727716762690358,0.01608835626211513
development,smoothed_top5_20bp,201904,0.017871375184454363,0.004808944637009205,0.012910964240775046
development,smoothed_top5_20bp,201905,-0.04206527674591021,-0.05660760961947142,0.015290704290486328
development,smoothed_top5_20bp,201906,-0.0021780164474783925,-0.018064907004707198,0.01604179530568695
development,smoothed_top5_20bp,201907,-0.012671444797717979,-0.033049595766908135,0.020843944721138416
development,smoothed_top5_20bp,201908,0.011103923224939471,-0.007040863834587574,0.01809984965008909
development,smoothed_top5_20bp,201909,-0.00712381483465363,-0.02450537850209622,0.017651361675353444
development,smoothed_top5_20bp,201910,-0.00027996282847175813,-0.016187074254808476,0.016031005380251137
development,smoothed_top5_20bp,201911,-0.013131518005601084,-0.02849189382258288,0.01568014834361294
development,smoothed_top5_20bp,201912,0.08264555849393429,0.06624641135548437,0.015256419622311487
development,smoothed_top5_20bp,202001,0.06549061317682403,0.04724817831264261,0.01725887690741945
development,smoothed_top5_20bp,202002,0.07534165935496828,0.056456258426083705,0.017709221822439794
development,smoothed_top5_20bp,202003,-0.06162043642377768,-0.08102359928722025,0.020882643738063762
development,smoothed_top5_20bp,202004,0.030871313341132467,0.014412367075887778,0.016086654950571468
development,smoothed_top5_20bp,202005,0.04345958409219586,0.028493056764517632,0.014440763139432598
development,smoothed_top5_20bp,202006,0.06260775943471253,0.04525179324078055,0.01646010269313039
development,smoothed_top5_20bp,202007,0.19965873426043412,0.18661323269172292,0.010930552942000986
development,smoothed_top5_20bp,202008,0.010614364041920288,0.003301920099161304,0.007260173126183566
