factor,month,mean_rank_ic,valid_days
factor_13,202311,0.020556361802563126,22
factor_13,202312,-0.01615155325659971,21
factor_13,202401,-0.08734781763682256,22
factor_13,202402,0.2140855803285168,15
factor_13,202403,0.17568527454789737,21
factor_13,202404,0.09533790170888794,20
factor_13,202405,-0.07261069311039157,20
factor_13,202406,-0.012671099105306312,19
factor_13,202407,0.022366331169805388,23
factor_13,202408,0.006786705924021998,22
factor_13,202409,0.04823008869905901,19
factor_13,202410,0.10676207539432085,18
factor_13,202411,0.13676837804493452,21
factor_13,202412,0.11111074784646903,22
factor_13,202501,0.12878350197355215,18
factor_13,202502,0.03408246582250877,18
factor_13,202503,0.15736091455655646,21
factor_13,202504,0.13279221286315554,21
factor_13,202505,-0.011790154391624815,19
factor_13,202506,0.0668553728505504,20
factor_13,202507,4.987296017249648e-05,23
factor_13,202508,0.013655336470876554,21
factor_13,202509,-0.004897775043727001,22
factor_13,202510,0.07469152576881473,17
factor_13,202511,0.03698395237165074,20
factor_13,202512,0.08928961398714357,23
factor_14,201501,-0.1802156484849772,20
factor_14,201502,-0.02648650968863211,15
factor_14,201503,-0.12381218437820155,22
factor_14,201504,-0.20130799218408196,21
factor_14,201505,0.010798545605614027,20
factor_14,201506,-0.20061317205354806,21
factor_14,201507,-0.0486922079475776,23
factor_14,201508,-0.15977859413463,21
factor_14,201509,-0.16043196293149012,20
factor_14,201510,-0.08463077762318585,17
factor_14,201511,-0.04288948149030912,21
factor_14,201512,-0.11425604382665261,23
factor_14,201601,-0.06359026257799599,20
factor_14,201602,-0.01821049714830785,16
factor_14,201603,-0.17828905085984353,23
factor_14,201604,-0.10428563580817667,20
factor_14,201605,-0.012975499871063964,21
factor_14,201606,-0.01552309435605507,20
factor_14,201607,-0.18545150166537935,21
factor_14,201608,-0.10416725188449691,23
factor_14,201609,0.0021580043546680396,20
factor_14,201610,-0.07400257321314758,16
factor_14,201611,-0.11597615966862959,22
factor_14,201612,-0.018606537284165697,22
factor_14,201701,-0.02282575237110934,18
factor_14,201702,-0.05503946125216991,18
factor_14,201703,-0.021206716109208597,23
factor_14,201704,0.01976337858351778,18
factor_14,201705,0.02756894952243749,20
factor_14,201706,-0.1199986605528041,22
factor_14,201707,0.03485522060240646,21
factor_14,201708,-0.12964948002688867,23
factor_14,201709,-0.11184727078760319,21
factor_14,201710,0.013250856204596668,17
factor_14,201711,-0.024488489915321935,22
factor_14,201712,-0.06456480301015052,21
factor_14,201801,-0.0009150581764801703,22
factor_14,201802,-0.1394172871652999,15
factor_14,201803,-0.04002239074198119,22
factor_14,201804,-0.05897385098952837,18
factor_14,201805,-0.005571753297138995,22
factor_14,201806,-0.03014289848402248,20
factor_14,201807,-0.06541465284419802,22
factor_14,201808,-0.03330312570888683,23
factor_14,201809,-0.03933509033065469,19
factor_14,201810,-0.08409505927252969,18
factor_14,201811,-0.10567212290313788,22
factor_14,201812,-0.11532520623021017,20
factor_14,201901,-0.11737542714725059,22
factor_14,201902,-0.11932182204644444,15
factor_14,201903,-0.17710115253526496,21
factor_14,201904,-0.1963276846650126,21
factor_14,201905,-0.05782274793277662,20
factor_14,201906,-0.1613453727645794,19
factor_14,201907,-0.03609086269623194,23
factor_14,201908,-0.031261896938567575,22
factor_14,201909,-0.1006566760884634,20
factor_14,201910,-0.02725337153434293,18
factor_14,201911,-0.05284091546569987,21
factor_14,201912,-0.060205496181311685,22
factor_14,202001,0.10072671909837345,16
factor_14,202002,-0.09339866394319975,20
factor_14,202003,-0.1386732576388149,22
factor_14,202004,-0.06300739169612701,21
factor_14,202005,-0.007621283067936911,18
factor_14,202006,-0.031476027723472334,20
factor_14,202007,-0.03527473780124475,23
factor_14,202008,-0.08506759419773481,21
factor_14,202009,-0.0949949164646987,22
factor_14,202010,0.06045772719634233,16
factor_14,202011,-0.07358156490373577,21
factor_14,202012,0.05589121503451505,23
factor_14,202101,-0.030778581172195237,20
factor_14,202102,-0.09883322106188168,15
factor_14,202103,-0.07998250418542385,23
factor_14,202104,-0.039326670648499006,21
factor_14,202105,-0.043903732377455255,18
factor_14,202106,-0.008568844990846794,21
factor_14,202107,0.09334559498650422,22
factor_14,202108,-0.029504177910762344,22
factor_14,202109,-0.07850553386385864,20
factor_14,202110,-0.05733678933356001,16
factor_14,202111,-0.09717136232026036,22
factor_14,202112,-0.1268661987194348,23
factor_14,202201,-0.07755925297472799,19
factor_14,202202,-0.024447129643882834,16
factor_14,202203,0.06545468262713507,23
factor_14,202204,-0.030506124808649848,19
factor_14,202205,-0.11122743333178713,19
factor_14,202206,-0.04566865817233783,21
factor_14,202207,-0.030496762226099178,21
factor_14,202208,-0.10034721808795193,23
factor_14,202209,-0.07632597578431126,21
factor_14,202210,-0.07098587960270417,16
factor_14,202211,-0.1520645507108569,22
factor_14,202212,-0.08457575331266158,22
factor_14,202301,-0.12647306673666295,16
factor_14,202302,-0.0932681406929081,20
factor_14,202303,0.027493702891608598,23
factor_14,202304,-0.009826021661178436,19
factor_14,202305,-0.10423419596432967,20
factor_14,202306,-0.07445293969066467,20
factor_14,202307,-0.07718737790315826,21
factor_14,202308,-0.1210800985282103,23
factor_14,202309,-0.05985647456378172,20
factor_14,202310,-0.055127047500553854,17
factor_14,202311,-0.04941806073612054,22
factor_14,202312,-0.02121164879372851,21
factor_14,202401,0.010225175534960758,22
factor_14,202402,-0.08780166064903602,15
factor_14,202403,-0.11664782636841509,21
factor_14,202404,-0.10659954675080101,20
factor_14,202405,-0.03885132275320917,20
factor_14,202406,-0.04119579622910141,19
factor_14,202407,-0.08821423511165392,23
factor_14,202408,-0.0725860580961888,22
factor_14,202409,-0.05195351903052403,19
factor_14,202410,-0.05962867481992176,18
factor_14,202411,-0.1393462165674941,21
factor_14,202412,-0.1351932219704262,22
factor_14,202501,-0.0700485923248405,18
factor_14,202502,-0.019300080180209605,18
factor_14,202503,-0.1425664650696102,21
factor_14,202504,-0.11859065912532649,21
factor_14,202505,-0.03828967829331371,19
factor_14,202506,-0.10720498835096681,20
factor_14,202507,-0.061687097999423436,23
factor_14,202508,-0.0467385510848214,21
factor_14,202509,-0.04684565593014822,22
factor_14,202510,-0.11652424311108757,17
factor_14,202511,-0.06948551446917603,20
factor_14,202512,-0.07991971025835955,23
factor_15,201501,-0.16562665260770817,20
factor_15,201502,-0.06819632283729428,15
factor_15,201503,-0.12404247287348488,22
factor_15,201504,-0.10446464129622669,21
factor_15,201505,-0.1892594695591611,20
factor_15,201506,-0.05907061973053794,21
factor_15,201507,-0.15912254168930956,23
factor_15,201508,-0.09663984865503318,21
factor_15,201509,-0.20848179222027596,20
factor_15,201510,-0.15801106220412597,17
factor_15,201511,-0.13532461866578288,21
factor_15,201512,-0.12718165843365722,23
factor_15,201601,-0.11969584762349086,20
factor_15,201602,-0.09251354826112526,16
factor_15,201603,-0.21986554267367373,23
factor_15,201604,-0.12631247685804387,20
factor_15,201605,-0.05252218159028669,21
