strategy_id,universe,score_name,top_k,rebalance_days,hold_days,val_days,val_total_ret,val_ann_ret,val_ann_vol,val_sharpe,val_max_drawdown,val_win_rate,val_bench_ann_ret,val_excess_ann_ret,val_excess_sharpe,val_avg_turnover,val_rebalance_count,observation_days,observation_total_ret,observation_ann_ret,observation_ann_vol,observation_sharpe,observation_max_drawdown,observation_win_rate,observation_bench_ann_ret,observation_excess_ann_ret,observation_excess_sharpe,observation_avg_turnover,observation_rebalance_count
industry__score_risk_adj__top3__rb10,industry,score_risk_adj,3,10,10,483,0.07143764054048574,0.036656569061348065,0.28189623470470326,0.2677682459508896,-0.26033956540701986,0.5113871635610766,0.17183939229863743,-0.14526491405014574,-0.5169784301185333,0.9319727891156464,49,93,-0.10845116634288521,-0.26732832635205817,0.29740540700127327,-0.8961847156233046,-0.2642104992565314,0.4731182795698925,0.022428170864180474,-0.28745285127640097,-1.1966266140822575,0.933673731033385,10
industry_concept__score_risk_adj__top3__rb1,industry_concept,score_risk_adj,3,1,1,483,0.07051330292474534,0.03618986490862541,0.2815918850108827,0.26503626411265235,-0.25222913273577785,0.4927536231884058,0.18784006684587706,-0.16342948061666018,-0.5730892430502207,0.4951071235457457,483,93,-0.060477469773335124,-0.15552412073568134,0.27219980315372017,-0.48393507369234406,-0.15716147451663343,0.5053763440860215,0.05468683869726565,-0.206246179238325,-0.9106246200900754,0.5384898993517656,93
industry__score_breakout__top3__rb5,industry,score_breakout,3,5,5,483,0.0644278596422021,0.033112460863530035,0.33795869494593306,0.2645964137315648,-0.3254228309451669,0.5093167701863354,0.17183939229863743,-0.14435346467278287,-0.3858994973692082,0.8391015642704595,97,93,0.1772312976809467,0.5560108409079245,0.4638110701626121,1.1863639164361297,-0.2740136586778408,0.5698924731182796,0.022428170864180474,0.5218245826252725,1.2041846535363427,0.9122807017543859,19
tradable_theme__score_risk_adj__top3__rb10,tradable_theme,score_risk_adj,3,10,10,483,0.06764514183879466,0.03474048329898527,0.27519425473741904,0.259874241214096,-0.2563947285836585,0.515527950310559,0.19005875999688016,-0.16584093014477086,-0.6076370130083474,0.9523809523809523,49,93,0.010556947679721373,0.028864720744006922,0.2805450578112431,0.24184251070199006,-0.18454080402738748,0.4946236559139785,0.06018190415199798,-0.035452018417071796,-0.048379856181717036,0.9668368652641732,10
industry__score_risk_adj__top3__rb5,industry,score_risk_adj,3,5,5,483,0.06266170153453876,0.03221774161274227,0.2900387975564169,0.2526996993789192,-0.24478451782030386,0.5072463768115942,0.17183939229863743,-0.14805390216258507,-0.5167922141081278,0.8901096511830908,97,93,-0.03708869631742584,-0.09734014721918927,0.3199029538509885,-0.1590748342378398,-0.1945675347301038,0.5268817204301075,0.022428170864180474,-0.11903843010361626,-0.33535060803255584,0.895147725577964,19
tradable_theme__score_risk_adj__top5__rb10,tradable_theme,score_risk_adj,5,10,10,483,0.06231934963147112,0.032044227058554586,0.2648007410559852,0.249433780201505,-0.263078237872833,0.5196687370600414,0.19005875999688016,-0.1642182078402089,-0.7231609705940526,0.9469800789270342,49,93,0.011632464520911157,0.031834521592626785,0.264132407726398,0.2505403302174283,-0.16439135807702365,0.5053763440860215,0.06018190415199798,-0.03215419610302872,-0.062420728897111824,0.9401652959942816,10
industry_concept__score_volume_confirm__top20__rb10,industry_concept,score_volume_confirm,20,10,10,483,0.05585759351398245,0.02876417804175513,0.3379417441489984,0.2493265392761561,-0.32651444799561147,0.5134575569358178,0.18784006684587706,-0.13851029047574837,-0.8596150576758229,0.9510358258584658,49,93,0.20132028393907353,0.6438026600482467,0.3042191104958289,1.7870458314574367,-0.1507443825939223,0.5591397849462365,0.05468683869726565,0.5672965032419928,2.334402553939811,0.9450000000000001,10
industry_concept__score_risk_adj__top5__rb10,industry_concept,score_risk_adj,5,10,10,483,0.059576532988014685,0.030653116005639136,0.26440788228247997,0.2443088358363157,-0.2609535920244167,0.5113871635610766,0.18784006684587706,-0.16417706362813,-0.7230222967486283,0.9551020408163267,49,93,0.011632464520911157,0.031834521592626785,0.264132407726398,0.2505403302174283,-0.16439135807702365,0.5053763440860215,0.05468683869726565,-0.02719106286967332,-0.03712487838624654,0.9401652959942816,10
industry_concept__score_volume_confirm__top3__rb1,industry_concept,score_volume_confirm,3,1,1,483,0.046260807740690746,0.02387498884130812,0.3589691507457284,0.24241790915997824,-0.3084689086573631,0.5093167701863354,0.18784006684587706,-0.1556502173789035,-0.5010610211502703,0.6752304267017961,483,93,0.16941250744128133,0.5281663609758787,0.3363514168067552,1.427579505028984,-0.11387718492062093,0.5806451612903226,0.05468683869726565,0.43604939462108394,1.3572797191179455,0.7141442884298734,93
industry__score_breakout__top20__rb10,industry,score_breakout,20,10,10,483,0.05629717270639034,0.028987616431525476,0.2928013626501847,0.24069287701838504,-0.32449157865510725,0.5010351966873706,0.17183939229863743,-0.1347240872124308,-0.8263047924590704,0.8491064653948889,49,93,0.27737747446558636,0.9412920692386844,0.30632375551996693,2.3213320434842784,-0.13544374708940765,0.5376344086021505,0.022428170864180474,0.895881371174589,2.689463474669334,0.7510105408252155,10
