expression_text,fitness,direction,peak_month,nodes,depth,category,duplicate_corr,manual_duplicate_corr,manual_duplicate_factor,selected,reject_reason,factor_name
"add(max(std_20(risk_adj_5_20_rank), neg(ret_3d_rank)), ret_3d_rank)",0.028352536721841074,1,201505,7,3,trend,0.5250564645322745,0.9703494294015809,ret_3d_rank,False,manual_factor_duplicate,
"add(add(std_20(ma_gap_5_20_rank), ts_rank_20(risk_adj_20_60_rank)), close_pos_20d_rank)",0.028327093898123757,1,201505,7,3,breakout,0.7899898259174672,0.9131677156873013,close_pos_20d_rank,False,manual_factor_duplicate,
ts_rank_20(ma_gap_5_20_rank),0.028326267210342992,1,201505,2,1,breakout,0.7154470075601397,0.6418782859749849,ret_10d_rank,False,peak_month_limit,
abs(ma_gap_10_60_rank),0.028320453497612353,1,202001,2,1,breakout,0.2864791391340999,0.2610169669557925,volatility_20d_rank,False,peak_month_limit,
std_20(volume_z_20d_rank),0.028311905055458757,1,201505,2,1,activity,0.312779042777143,0.11346873261540927,range_1d_rank,False,peak_month_limit,
"min(ret_1d_rank, signed_sqrt(signed_log(risk_adj_5_20_rank)))",0.028303688261377264,1,201702,5,3,trend,0.5610034238394465,0.7677702907121198,ret_1d_rank,False,peak_month_limit,
signed_log(volatility_10d_rank),0.02830019923657679,1,202001,2,1,volatility,0.7286091179593062,0.9999999999999998,volatility_10d_rank,False,manual_factor_duplicate,
risk_adj_10_20_rank,0.028250791992364164,1,201505,1,0,trend,0.7290945898171187,1.0,risk_adj_10_20_rank,False,manual_factor_duplicate,
"mul(volatility_10d_rank, neg(std_20(risk_adj_5_20_rank)))",0.02821365760616175,-1,202001,5,3,volatility,0.7079856185179056,0.9809606899413067,volatility_10d_rank,False,manual_factor_duplicate,
"min(ret_20d_rank, min(std_20(risk_adj_20_60_rank), add(drawdown_60d_rank, range_1d_rank)))",0.02820360771225276,1,202001,8,3,breakout,0.5790773274323016,0.790141197424557,ret_20d_rank,False,peak_month_limit,
"add(mean_5(ret_10d_rank), delta_5(volume_z_20d_rank))",0.028197485722322266,1,201505,5,2,trend,0.48735397094341576,0.7390015981406354,turnover_z_20d_rank,False,peak_month_limit,
signed_sqrt(ma_gap_10_60_rank),0.028181961895067203,-1,201506,2,1,breakout,0.7310262637294146,0.9999911404205258,ma_gap_10_60_rank,False,manual_factor_duplicate,
signed_log(ma_gap_10_60_rank),0.028181961895067203,-1,201506,2,1,breakout,0.7310262637294146,0.9999911404205258,ma_gap_10_60_rank,False,manual_factor_duplicate,
neg(ma_gap_10_60_rank),0.028181961895067203,1,201506,2,1,breakout,0.7310262637294146,0.9999911404205258,ma_gap_10_60_rank,False,manual_factor_duplicate,
"signed_sqrt(max(slope_5(risk_adj_5_20_rank), signed_sqrt(risk_adj_5_20_rank)))",0.028175692665159235,1,201505,6,3,trend,0.6863753120123176,0.921853292394635,risk_adj_5_20_rank,False,manual_factor_duplicate,
"sub(max(slope_5(drawdown_60d_rank), ts_rank_20(ma_gap_10_60_rank)), ret_3d_rank)",0.028155925061380396,-1,202303,7,3,breakout,0.5671864052030894,0.8100716876199415,ret_3d_rank,False,manual_factor_duplicate,
"max(signed_log(risk_adj_5_20_rank), volatility_10d_rank)",0.028151002494208786,1,202001,4,2,volatility,0.771120161377589,0.7185967470492163,volatility_10d_rank,False,peak_month_limit,
"neg(max(ret_3d_rank, ret_60d_rank))",0.02812965822750639,-1,201505,4,2,trend,0.548109941320428,0.7016259623699591,ret_60d_rank,False,peak_month_limit,
signed_sqrt(zscore_20(risk_adj_10_20_rank)),0.02809550585680836,1,201505,3,2,trend,0.969731895456656,0.7195960280759391,risk_adj_10_20_rank,False,peak_month_limit,
"neg(max(neg(volatility_20d_rank), drawdown_60d_rank))",0.02804518110523738,1,202305,5,3,volatility,0.3784574332110164,0.7037633448331031,drawdown_60d_rank,True,,sector_factor_24
"signed_log(signed_sqrt(max(ret_3d_rank, volume_z_20d_rank)))",0.028017758039895094,1,201505,5,3,trend,0.5454009162140198,0.793539589297063,turnover_z_20d_rank,False,peak_month_limit,
slope_5(ret_10d_rank),0.028016508111805824,1,201505,2,1,trend,0.7860030896044932,0.5602608074235069,ret_3d_rank,False,peak_month_limit,
std_20(ma_gap_5_20_rank),0.027994209690299865,-1,202001,2,1,breakout,0.7409596032878487,0.24880986739056252,volatility_20d_rank,False,peak_month_limit,
slope_5(close_pos_20d_rank),0.02799073023530445,1,201703,2,1,breakout,0.7667162435011208,0.620634537696384,ret_3d_rank,True,,sector_factor_25
"max(sub(abs(ret_1d_rank), abs(risk_adj_5_20_rank)), mean_5(ret_3d_rank))",0.027987897724647697,1,201505,8,3,trend,0.6159946271528165,0.6703760203905851,risk_adj_5_20_rank,False,peak_month_limit,
"signed_log(max(risk_adj_5_20_rank, signed_sqrt(risk_adj_10_20_rank)))",0.02798661286550672,1,201505,5,3,trend,0.682974898950386,0.9188550785488383,risk_adj_10_20_rank,False,manual_factor_duplicate,
"max(ret_5d_rank, min(volume_z_20d_rank, std_20(risk_adj_5_20_rank)))",0.027983014043305665,1,201505,6,3,trend,0.6534241915114452,0.8318315577199109,ret_5d_rank,False,manual_factor_duplicate,
close_pos_20d_rank,0.027972601367932982,1,201505,1,0,breakout,0.7507487143131656,1.0,close_pos_20d_rank,False,manual_factor_duplicate,
"sub(ret_20d_rank, ret_5d_rank)",0.027942205009946694,-1,201506,3,1,trend,0.651668680539809,0.5030984580789262,ret_20d_rank,True,,sector_factor_26
