asof_date,effective_from,sector_code,sector_name,etf_code,etf_name,index_code,index_name,listing_sessions,recent_completeness,median_amount20,n_obs,score_before_tracking_penalty,eligible_before_index_gap,reject_reason,corr120,corr60,beta,r2,tracking_error,tracking_error_rank,mapping_score,selected,runner_up_index_gap,effective_to
20181228,20190102,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,452,1.0,4284.055,120,0.3305255808689617,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.44187382072368303,0.32120319796391356,0.30086062457424534,0.19525247344094554,0.0755733951271358,1.0,0.23052558086896172,False,,20190201
20181228,20190102,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,570,1.0,254.9775,120,0.2131196993555322,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.25654016921635026,0.2999107439364961,0.2580206562198967,0.06581285842155371,0.14931640443458588,1.0,0.1131196993555322,False,,20190201
20190131,20190201,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,474,1.0,3939.485,120,0.14921822655595454,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.23736444753503466,0.08833888258158157,0.1763267601749994,0.056341880953612145,0.0845132714841633,1.0,0.049218226555954536,False,,20190301
20190131,20190201,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,592,1.0,715.8075,120,0.1853261726851924,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.19080999363610496,0.33783963126571326,0.21395861645732525,0.036408453671410546,0.14769274701166085,1.0,0.08532617268519238,False,,20190301
20190228,20190301,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,489,1.0,7613.7055,120,0.033470490226847394,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.10210675070822167,-0.0765870136331682,0.08331000815036547,0.010425788540190717,0.09410363913548103,1.0,-0.06652950977315261,False,,20190401
20190228,20190301,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,607,1.0,8573.1195,120,0.19215099901623056,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.2523987887480408,0.22558332943195378,0.30104902419950486,0.06370514856147813,0.14452580514184207,1.0,0.09215099901623056,False,,20190401
20190329,20190401,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,510,1.0,14386.4215,120,0.032402823530027214,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.09540880243828159,-0.06666801450607852,0.08612504990291393,0.009102839582706967,0.105630884462128,1.0,-0.06759717646997279,False,,20190506
20190329,20190401,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,628,1.0,13218.911,120,0.36486758871786207,False,insufficient_liquidity|corr120_below_threshold|beta_outside_range,0.4229580299996109,0.5062181977875355,0.41016361925544875,0.17889349514115183,0.14102467107336533,1.0,0.2648675887178621,False,,20190506
20190430,20190506,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,531,1.0,9380.7045,120,0.04535175855022994,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.08705255604041481,0.0027550336121885395,0.08351680316314378,0.00757814751316932,0.10563861813244077,1.0,-0.05464824144977007,False,,20190603
20190430,20190506,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,649,1.0,33167.111999999994,120,0.5150007262851861,False,insufficient_liquidity|corr120_below_threshold,0.5940465292939208,0.660175079173211,0.5583496583990943,0.35289127896615313,0.13549404482827487,1.0,0.41500072628518614,False,,20190603
