power,dead_zone,half_life,top_k,signal_mode,mean_rank_ic,rank_ic_ir,mean_long_short_5d,long_short_win_rate,early_2026_ic,late_2026_ic
1.5,0.03,3.0,10,binary,0.02409058079550458,0.19067351713686068,-0.0004417591545255697,0.37777777777777777,0.01775921792314725,0.034518707879387246
1.5,0.0,3.0,10,tanh,0.022866044095631314,0.1746668868599355,0.0013338334139517865,0.4111111111111111,0.018937185104542453,0.029337105963307096
1.5,0.01,3.0,10,tanh,0.022866044095631314,0.1746668868599355,0.0013338334139517865,0.4111111111111111,0.018937185104542453,0.029337105963307096
1.0,0.0,3.0,10,tanh,0.022164756437002848,0.17213539620025725,0.0009707026006564809,0.4111111111111111,0.019991010398108126,0.025745044030476512
1.0,0.01,3.0,10,tanh,0.022164756437002848,0.17213539620025725,0.0009707026006564809,0.4111111111111111,0.019991010398108126,0.025745044030476512
1.5,0.0,3.0,10,linear,0.02212719081679811,0.16664676468921122,0.0006188258671767372,0.4111111111111111,0.018085905548156596,0.028783425376913533
1.5,0.01,3.0,10,linear,0.02212719081679811,0.16664676468921122,0.0006188258671767372,0.4111111111111111,0.018085905548156596,0.028783425376913533
1.5,0.0,3.0,10,binary,0.021893622567467533,0.17734369971484354,-0.0013416825867834832,0.37777777777777777,0.01777030122039216,0.028684975374415195
1.5,0.01,3.0,10,binary,0.021893622567467533,0.17734369971484354,-0.0013416825867834832,0.37777777777777777,0.01777030122039216,0.028684975374415195
1.0,0.0,3.0,10,binary,0.021565285986952634,0.1774326464104142,-0.0018550356681946716,0.37777777777777777,0.019453878601126073,0.02504289815184344
1.0,0.01,3.0,10,binary,0.021565285986952634,0.1774326464104142,-0.0018550356681946716,0.37777777777777777,0.019453878601126073,0.02504289815184344
1.0,0.0,3.0,10,linear,0.02144635217528114,0.1641283132217213,0.0006859087175734511,0.43333333333333335,0.019254354124284445,0.025056701906334522
1.0,0.01,3.0,10,linear,0.02144635217528114,0.1641283132217213,0.0006859087175734511,0.43333333333333335,0.019254354124284445,0.025056701906334522
1.5,0.0,3.0,20,binary,0.01972352099320526,0.1517995510571525,0.0005487469358017938,0.4444444444444444,0.010355436003040439,0.03515330803582967
